TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237251,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237252,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237253,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237254,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237255,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237256,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237257,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237258,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237259,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237260,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237261,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237262,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237263,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237264,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237265,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237266,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237267,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237268,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237269,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237270,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237271,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237272,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237273,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237274,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237275,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237276,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237277,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237278,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237279,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237280,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237281,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237282,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
1692237283,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.3,0.0,-1.0,-1.0
